Accuracy_stars,CheckIn,CheckIn_stars,CheckOut,Cleanliness_stars,Communication_stars,Latitude,Location_stars,Longitude,Price,Super_host,Value_stars,Bathrooms_num_int,shared_bathroom,Bedrooms_int,Beds_int,shared_room,air,bunk,couch,crib,double,floor,king,queen,single,sofa,Unnamed: 27,Air conditioning,BBQ grill,Baby bath,Baby monitor,Babysitter recommendations,Bathtub,Beach essentials,Beachfront,Bed linens,Breakfast,Building staff,Cable TV,Carbon monoxide detector,Changing table,Children’s books and toys,Children’s dinnerware,Cleaning before checkout,Coffee maker,Cooking basics,Crib,Dishes and silverware,Dishwasher,Dryer,EV charger,Elevator,Essentials,Ethernet connection,Extra pillows and blankets,Fire extinguisher,Fireplace guards,First aid kit,Free parking on premises,Free street parking,Game console,Garden or backyard,Gym,Hair dryer,Hangers,Heating,High chair,Host greets you,Hot tub,Hot water,Indoor fireplace,Iron,Keypad,Kitchen,Lake access,Laptop friendly workspace,Lock on bedroom door,Lockbox,Long term stays allowed,Luggage dropoff allowed,Microwave,Outlet covers,Oven,Pack ’n Play/travel crib,Paid parking off premises,Paid parking on premises,Patio or balcony,Pocket wifi,Pool,Private entrance,Private living room,Refrigerator,Room-darkening shades,Shampoo,Single level home,Ski-in/Ski-out,Smart lock,Smoke detector,Stair gates,Stove,TV,Table corner guards,Washer,Waterfront,Wifi,Window guards,Reviewers_no,Title,normalized_price,geom,month,address
5,2019-03-21,5,2019-03-26,4.5,5,40.77851,5,-73.97645,134,1,5,1.5,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,80,Central Park Sanctuary,0.549180328,"40.77851,-73.97645",3,"37, West 74th Street, Central Park, Upper West Side, Manhattan, Manhattan Community Board 7, New York County, NYC, New York, 10023, USA"
5,2019-03-21,5,2019-03-26,5,5,40.81,5,-73.92654,71,1,5,2,1,1,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,9,Large private bedroom 1 stop from Manhattan,0.290983607,"40.81,-73.92654",3,"300, East 138th Street, Mott Haven, Bronx County, NYC, New York, 10454, USA"
4.5,2019-03-21,4.5,2019-03-26,4.5,5,40.822,5,-73.93681,67,0,5,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,177,1 large bedroom HARLEM/NYC/terrace/,0.274590164,"40.821999999999996,-73.93681",3,"101, West 147th Street, Harlem, Manhattan, Manhattan Community Board 10, New York County, NYC, New York, 10039, USA"
5,2019-03-21,5,2019-03-26,5,5,40.72419,4.5,-74.05002,67,0,5,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,247,Room with private bathroom min to Manhattan,0.274590164,"40.72419,-74.05001999999998",3,"345, 4th Street, Newport, Jersey City, Hudson County, New Jersey, 07302, USA"
0,2019-03-21,0,2019-03-26,0,0,40.7641,0,-73.99139,106,0,0,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,-1,Great clean comfy room Times Square,0.43442623,"40.7641,-73.99139",3,"450, West 50th Street, Hell's Kitchen, Manhattan, Manhattan Community Board 5, New York County, NYC, New York, 10019, USA"
0,2019-03-21,0,2019-03-26,0,0,40.75088,0,-73.98649,66,0,0,1,1,1.5,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,small room with key,0.270491803,"40.75088,-73.98649",3,"76, West 36th Street, Midtown South, Manhattan, Manhattan Community Board 5, New York County, NYC, New York, 10018, USA"
5,2019-03-21,4.5,2019-03-26,4.5,5,40.68478,4.5,-73.86874,49,0,5,2,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,26,Gorgeous Hideout w/Private Bath & Outdoor Deck,0.200819672,"40.684779999999996,-73.86874",3,"244, Nichols Avenue, Kings County, NYC, New York, 11208, USA"
4.5,2019-03-21,4.5,2019-03-26,3.5,5,40.82085,4.5,-73.94025,73,0,4,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,586,Great Bedroom in Manhattan,0.299180328,"40.82085,-73.94025",3,"2468, Adam Clayton Powell Jr. Boulevard, Harlem, Manhattan, Manhattan Community Board 10, New York County, NYC, New York, 10030, USA"
5,2019-03-21,5,2019-03-26,4.5,5,40.74366,5,-74.16006,52,0,5,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,54,"30 min to NYC, near Newark airport luxury condo",0.213114754,"40.74366,-74.16006",3,"201, Sussex Street, Harrison, Hudson County, New Jersey, 07029, USA"
5,2019-03-21,5,2019-03-26,4.5,5,40.75088,5,-73.99951,137,0,4.5,1,0,1.5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,139,Chelsea studio,0.56147541,"40.75088,-73.99951",3,"Morgan General Mail Facility, West 29th Street, Chelsea, Manhattan, Manhattan Community Board 4, New York County, NYC, New York, 10001, USA"
